Should I use IRA money to pay down my student loans?	Debería hacer efectivo mi IRA para pagar mi préstamo estudiantil?	StackExchange Network: http://money.stackexchange.com/questions/35823 Author: Janelle (http://money.stackexchange.com/users/19436) Last Editor: Chris W. Rea (http://money.stackexchange.com/users/3)	StackExchange Network: http://money.stackexchange.com/questions/39052 Author: user22114 (No OwnerUserId. Deleted?) Last Editor: mhoran_psprep (http://money.stackexchange.com/users/5414)
Spain Princess Testifies in Historic Fraud Probe	Princesa de España testifica en juicio histórico de fraude	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
To explain further vector space models, basically a document is characterized by a vector.	Un documento es representado como un vector.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g2pB_taskc.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g4pB_taskc.txt
You do not need to worry.	No te tienes por que preocupar.	StackExchange Network: http://academia.stackexchange.com/questions/40376 Author: Michael (http://academia.stackexchange.com/users/22213)	StackExchange Network: http://pets.stackexchange.com/questions/6824 Author: Delusion (http://pets.stackexchange.com/users/3783)
Driver backs into stroller with child, drives off	Conductor atropella madre y cochecito con niño y se escapa	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
How do I make a height adjustable desk?	Como puedo construir una mesa de altura ajustable de pared	StackExchange Network: http://diy.stackexchange.com/questions/1928 Author: Evan (http://diy.stackexchange.com/users/831) Last Editor: Aarthi (http://diy.stackexchange.com/users/3312)	StackExchange Network: http://diy.stackexchange.com/questions/15169 Author: davemackey (http://diy.stackexchange.com/users/6139) Last Editor: Tester101 (http://diy.stackexchange.com/users/33)
One of the best known schemes is tf-idf weighting (see the example below).	Uno de los métodos más conocidos se llama pesado tf-idf.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: orig_taskc.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pA_taskc.txt
You have to decide what you want to get out of this.	Tienes que saber qué quieres hacer.	StackExchange Network: http://workplace.stackexchange.com/questions/12250 Author: JeffO (http://workplace.stackexchange.com/users/8365)	StackExchange Network: http://academia.stackexchange.com/questions/19431 Author: dorien (http://academia.stackexchange.com/users/14757)
Bayes' theorem was names after Rev Thomas Bayes and is a method used in probability theory.	Como teorema oficial, el teorema de Bayes es válido en todas la interpretaciones universales de probabilidad.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pA_taskd.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g2pB_taskd.txt
How can I connect additional wires to a receptacle?	Cómo conecto los cables al puerto USB?	StackExchange Network: http://diy.stackexchange.com/questions/49409 Author: Matt (http://diy.stackexchange.com/users/25593) Last Editor: Tester101 (http://diy.stackexchange.com/users/33)	StackExchange Network: http://diy.stackexchange.com/questions/31080 Author: Andrew (http://diy.stackexchange.com/users/14740) Last Editor: wallyk (http://diy.stackexchange.com/users/14510)
I remained under the banyan tree, exhausted by my daily ritual of dragooning the men every two hours.	Me quedé bajo la higuera de bengala, agotado de mi ritual diario de poner orden cada dos horas.	StackExchange Network: http://writers.stackexchange.com/questions/6879 Author: Fortiter (http://writers.stackexchange.com/users/4332)	StackExchange Network: http://writers.stackexchange.com/questions/6879 Author: Lauren Ipsum (http://writers.stackexchange.com/users/553)
Mayawati demands president's rule in Kashmir	Mayawati exige la intervención del presidente en Jammu y Cachemira	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
How can I replace a ceiling fan light pull chain?	Cómo puedo sustituir la lámpara por un ventilador de techo?	StackExchange Network: http://diy.stackexchange.com/questions/21244 Author: Lonnie E Weck (http://diy.stackexchange.com/users/9471) Last Editor: Tester101 (http://diy.stackexchange.com/users/33)	StackExchange Network: http://diy.stackexchange.com/questions/67370 Author: Sherri (http://diy.stackexchange.com/users/38217) Last Editor: Tester101 (http://diy.stackexchange.com/users/33)
I did this one time as well.	Yo también tengo este hábito.	StackExchange Network: http://cooking.stackexchange.com/questions/12055 Author: Stella (http://cooking.stackexchange.com/users/10133) Last Editor: Neil Fein (http://cooking.stackexchange.com/users/1601)	StackExchange Network: http://writers.stackexchange.com/questions/9186 Author: JBeck (http://writers.stackexchange.com/users/6085)
If a term appears in the document then its value in the vector is non-zero.	Un document se representa como un vector y cada dimensión corresponde a un término distinto.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pA_taskc.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g0pA_taskc.txt
US drone strike kills eight in Waziristan	Drone estadounidense mata 11 en Paquistán	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
Mandela's condition has 'improved'	La salud de Mandela 'ha empeorado en las últimas 48 horas'	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
Vector space representation results in the loss of the order which the terms are in the document.	Si un término ocurre en el documento, el valor en el vector será distinto de cero.	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g1pB_taskc.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g3pA_taskc.txt
Would a Colombian citizen with Canadian residency need a transit visa for the UK?	Siendo canadiense, necesito una visa de tránsito o ESTA para Estados Unidos?	StackExchange Network: http://travel.stackexchange.com/questions/9700 Author: Julio C Casas (http://travel.stackexchange.com/users/3226) Last Editor: hippietrail (http://travel.stackexchange.com/users/140)	StackExchange Network: http://travel.stackexchange.com/questions/16006 Author: Johnston (http://travel.stackexchange.com/users/6055) Last Editor: Kate Gregory (http://travel.stackexchange.com/users/46)
You should do it.	Tu también puedes hacerlo.	StackExchange Network: http://workplace.stackexchange.com/questions/5672 Author: amphibient (http://workplace.stackexchange.com/users/3298) Last Editor: amphibient (http://workplace.stackexchange.com/users/3298)	StackExchange Network: http://diy.stackexchange.com/questions/4321 Author: Jay Bazuzi (http://diy.stackexchange.com/users/80) [CommunityWiki]
At least 18 killed in Iraq mosque bombing	Más de 60 muertos en un funeral en Iraq	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
There's also what the string is made of.	También hay una versión de la película en Youtube.	StackExchange Network: http://music.stackexchange.com/questions/20654 Author: Nick of Music (http://music.stackexchange.com/users/12375)	StackExchange Network: http://movies.stackexchange.com/questions/12530 Author: knut (http://movies.stackexchange.com/users/132) Last Editor: knut (http://movies.stackexchange.com/users/132)
This can be useful when the number of times a word appears is not considered important.	Cómo se sustituye la lámpara con un ventilador de techo?	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g4pD_taskc.txt	A Corpus of Plagiarised Short Answers - http://ir.shef.ac.uk/cloughie/resources/plagiarism_corpus.html File: g4pB_taskb.txt
What is the best way to repair a cracked bathtub?	Cúal es la mejor forma de arreglar el suelo del garaje?	StackExchange Network: http://diy.stackexchange.com/questions/476 Author: Sean Vieira (http://diy.stackexchange.com/users/148) Last Editor: Aarthi (http://diy.stackexchange.com/users/3312)	StackExchange Network: http://diy.stackexchange.com/questions/66510 Author: user2059078 (http://diy.stackexchange.com/users/19581) Last Editor: Steven (http://diy.stackexchange.com/users/4207)
